X,Y,ROAD,ROAD_NAME,COMMON_USAGE_NAME,SLK,CWY,TRUE_DIST,NETWORK_TYPE,RA_NO,RA_NAME,LG_NO,LG_NAME,XSP,DATE_APPROVED,DATE_INSTALLED,ASSET_NO,PANEL_COUNT,PANEL_01_DESIGN,PANEL_01_DESIGN_MEANING,PANEL_02_DESIGN,PANEL_02_DESIGN_MEANING,PANEL_03_DESIGN,PANEL_03_DESIGN_MEANING,PANEL_04_DESIGN,PANEL_04_DESIGN_MEANING,LATITUDE,LONGITUDE,REGULATORY_SIGN_TYPE,ROUTE_NE_ID,OBJECTID,PANEL_01_COMMENT,PANEL_02_COMMENT,PANEL_03_COMMENT,PANEL_04_COMMENT,GlobalID
116.210466,-30.688499,H006,Great Northern Hwy,Great Northern Hwy,149.3,Single,145.21,State Road,8,Wheatbelt,510,Moora,Left,,2020/12/08 16:00:00+00,,2,R6-29C,KEEP LEFT UNLESS OVERTAKING (2400 X 1200),R9-7-1C,NEXT...KM (1200 X 240),,,,,-30.688499,116.210466,Other,247653,22195768,,2.2KM,,,{D40942A4-5BB3-4D69-8821-4D2A0B475CD4}
116.004152,-30.631552,M028,Midlands,Roberts Rd,23.28,Single,23.19,State Road,8,Wheatbelt,510,Moora,Right,,,,4,R4-8B,SCHOOL ZONE (600 X 400),R4-1B,SPEED RESTRICTION (600 X 800),R9-1-2B,TIME OF OPERATION MODULE TWO PERIODS (600 X 600),R4-8B,SCHOOL ZONE (600 X 400),-30.631552,116.004152,Other,247785,22195769,Panel No 1,Panel No 2,Panel No 3,Panel No 4,{9B2A967B-67AF-476F-8497-79F641FE7986}
115.569709,-29.316663,5090002,Yandanooka North East Rd,Yandanooka North East Rd,0.045,Single,0.045,Local Road,14,Mid West-Gascoyne,509,Mingenew,Verge,,,,3,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R1-1B,STOP (750 X 750),G9-48B,LOOK FOR TRAINS (750X750),,,-29.316663,115.569709,Other,247138,22195770,,,,,{06BCEF97-5BC4-4BB9-B62B-DA6F0B1F3854}
115.569765,-29.316711,5090002,Yandanooka North East Rd,Yandanooka North East Rd,0.047,Single,0.047,Local Road,14,Mid West-Gascoyne,509,Mingenew,Verge,,,,3,R6-24A,RAILWAY CROSSING (POSITION) (1350 X 178 - EACH CROSSARM),R1-1B,STOP (750 X 750),G9-48B,LOOK FOR TRAINS (750X750),,,-29.316711,115.569765,Other,247138,22195771,,,,,{BFE43F89-D08C-43AD-B645-FA70EE72874D}
115.440828,-29.190327,5090044,William St,William St,0.017,Single,0.017,Local Road,14,Mid West-Gascoyne,509,Mingenew,Verge,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.190327,115.440828,Other,246103,22195772,,,,,{2CB455E9-C7EB-4BA7-8905-60CF8E7D3F78}
115.441966,-29.194914,5090041,Victoria Rd,Victoria Rd,0.522,Single,0.522,Local Road,14,Mid West-Gascoyne,509,Mingenew,Verge,,,,2,MR-RS-7A,CATEGORY 2 - SCHOOL ZONE (600 X 1200),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-29.194914,115.441966,Other,244015,22195773,,,,,{275BBD4A-2761-4CF2-A59A-78471500FE01}
115.442074,-29.194918,5090041,Victoria Rd,Victoria Rd,0.522,Single,0.522,Local Road,14,Mid West-Gascoyne,509,Mingenew,Verge,,,,2,MR-RS-7A,CATEGORY 2 - SCHOOL ZONE (600 X 1200),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-29.194918,115.442074,Other,244015,22195774,,,,,{FD5D335D-7F73-4636-8EA8-C39BF138DD3E}
115.442023,-29.193499,5090041,Victoria Rd,Victoria Rd,0.366,Single,0.366,Local Road,14,Mid West-Gascoyne,509,Mingenew,Verge,,,,2,MR-RS-7A,CATEGORY 2 - SCHOOL ZONE (600 X 1200),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-29.193499,115.442023,Other,244015,22195775,,,,,{E6349A1D-BD02-47A8-875A-55D2F8ED5A05}
115.442158,-29.193492,5090041,Victoria Rd,Victoria Rd,0.365,Single,0.365,Local Road,14,Mid West-Gascoyne,509,Mingenew,Verge,,,,2,MR-RS-7A,CATEGORY 2 - SCHOOL ZONE (600 X 1200),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-29.193492,115.442158,Other,244015,22195776,,,,,{DD26504D-991E-4869-9BEB-A9ACC981B2A4}
115.442685,-29.194033,5090045,Phillip St,Phillip St,0.199,Single,0.199,Local Road,14,Mid West-Gascoyne,509,Mingenew,Verge,,,,2,MR-RS-7A,CATEGORY 2 - SCHOOL ZONE (600 X 1200),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-29.194033,115.442685,Other,233622,22195777,,,,,{61E53845-03D4-4EB6-ACE2-CD6D7B0012CF}
115.442679,-29.193958,5090045,Phillip St,Phillip St,0.2,Single,0.2,Local Road,14,Mid West-Gascoyne,509,Mingenew,Verge,,,,2,MR-RS-7A,CATEGORY 2 - SCHOOL ZONE (600 X 1200),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-29.193958,115.442679,Other,233622,22195778,,,,,{BA8B71CF-F590-4883-AB95-444F9688A2A5}
114.935268,-29.251248,5080076,Moreton Tce,Moreton Tce,0.272,Single,0.272,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.251248,114.935268,Other,229477,22195779,,,,,{98E14EBE-D72B-4F41-B794-5AACBA17E855}
114.936969,-29.251008,5080076,Moreton Tce,Moreton Tce,0.085,Single,0.085,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.251008,114.936969,Other,229477,22195780,,,,,{B4AAB325-DCD2-4C58-ACA1-738C5C30D3ED}
114.91941,-29.28139,5080040,White Tops Dr,White Tops Dr,0.18,Single,0.18,Local Road,14,Mid West-Gascoyne,508,Irwin,Verge,,,,1,MR-RS-6,CATEGORY 2 - LOCAL TRAFFIC AREA (600 X 1200),,,,,,,-29.28139,114.91941,Other,239629,22195781,,,,,{3B2C67EE-AF04-48EB-A0A7-361B949F1D29}
114.920297,-29.274764,5080002,Point Leander Dr,Point Leander Dr,3.15,Single,3.15,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.274764,114.920297,Other,234139,22195782,,,,,{CDC34C93-540C-4E8A-86A9-338FFB3DF539}
114.920505,-29.274615,5080002,Point Leander Dr,Point Leander Dr,3.125,Single,3.125,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.274615,114.920505,Other,234139,22195783,,,,,{40624424-CB14-4876-A01B-F43C80E6D46B}
114.920814,-29.274395,5080002,Point Leander Dr,Point Leander Dr,3.089,Single,3.089,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.274395,114.920814,Other,234139,22195784,,,,,{77BB45D0-D75B-48EC-929A-7CF63B729903}
114.921047,-29.274185,5080002,Point Leander Dr,Point Leander Dr,3.058,Single,3.058,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.274185,114.921047,Other,234139,22195785,,,,,{03074788-7265-4EF7-BC6D-E8E58F968219}
114.922313,-29.274801,5080036,Carnarvon St,Carnarvon St,0.011,Single,0.011,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,2,R2-3A(L),KEEP LEFT (450 X 600),R2-3A(L),KEEP LEFT (450 X 600),,,,,-29.274801,114.922313,Other,207289,22195786,,,,,{AA443E8D-AB21-470E-AF76-767600A0EFDD}
114.922236,-29.274447,5080038,William St,William St,0.112,Single,0.112,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.274447,114.922236,Other,246104,22195787,,,,,{765CBDE4-A39F-4921-B250-8E2DAE184033}
